Time (h),miR-200,ZEB mRNA ,miR-34,SNAIL mRNA,Signal driving SNAIL
0.9,5468.850991,453.0300272,911.6894642,244.7909418,50000
0.91,5471.853497,453.3040328,920.1169209,246.3626931,50000
0.92,5474.807632,453.5923653,928.524774,247.9206084,50000
0.93,5477.713738,453.8941929,936.9134485,249.4649613,50000
0.94,5480.572575,454.2117736,945.2819983,250.9952109,50000
0.95,5483.387213,454.5644762,953.6218871,252.5063066,50000
0.96,5486.155428,454.9324727,961.9419665,254.003529,50000
0.97,5488.877594,455.3151595,970.2425601,255.4870914,50000
0.98,5491.554082,455.7119331,978.5239912,256.9572073,50000
0.99,5494.185266,456.12219,986.7865836,258.4140901,50000
1,5496.771519,456.5453264,995.0306606,259.8579533,50000
1.01,5499.313214,456.9807389,1003.256546,261.2890104,50000
1.02,5501.810723,457.4278238,1011.464563,262.7074749,50000
1.03,5504.264419,457.8859777,1019.655035,264.1135601,50000
1.04,5506.674676,458.3545969,1027.828286,265.5074796,50000
1.05,5509.041865,458.8330779,1035.984639,266.8894468,50000
1.06,5511.36636,459.3208171,1044.124418,268.2596753,50000
1.07,5513.648534,459.8172109,1052.247946,269.6183783,50000
1.08,5515.88876,460.3216557,1060.355547,270.9657695,50000
1.09,5518.08741,460.833548,1068.447545,272.3020622,50000
1.1,5520.244857,461.3522842,1076.524262,273.62747,50000
1.11,5522.361474,461.8772607,1084.586023,274.9422063,50000
1.12,5524.437294,462.4182338,1092.628285,276.24354,50000
1.13,5526.47252,462.9797084,1100.648973,277.5302326,50000
1.14,5528.467901,463.54968,1108.653765,278.8057381,50000
1.15,5530.423803,464.1277576,1116.642884,280.0702094,50000
1.16,5532.340591,464.7135504,1124.616554,281.3237996,50000
1.17,5534.218632,465.3066675,1132.574998,282.5666617,50000
1.18,5536.058291,465.9067178,1140.518441,283.7989487,50000
1.19,5537.859935,466.5133104,1148.447106,285.0208137,50000
1.2,5539.623928,467.1260545,1156.361217,286.2324096,50000
1.21,5541.350637,467.744559,1164.260996,287.4338895,50000
1.22,5543.040428,468.3684331,1172.146669,288.6254064,50000
1.23,5544.693666,468.9972858,1180.018458,289.8071134,50000
1.24,5546.310718,469.6307261,1187.876588,290.9791635,50000
1.25,5547.891949,470.2683632,1195.721281,292.1417097,50000
1.26,5549.437725,470.909806,1203.552762,293.2949049,50000
1.27,5550.948413,471.5546637,1211.371254,294.4389024,50000
1.28,5552.424377,472.2025454,1219.176981,295.573855,50000
1.29,5553.865984,472.85306,1226.970166,296.6999158,50000
1.3,5555.270228,473.5183682,1234.745054,297.8135533,50000
1.31,5556.639208,474.1916326,1242.504938,298.916813,50000
1.32,5557.974163,474.8692028,1250.251596,300.0108045,50000
1.33,5559.275421,475.5508345,1257.985182,301.0956381,50000
1.34,5560.543309,476.2362828,1265.705849,302.1714236,50000
1.35,5561.778152,476.9253032,1273.413751,303.2382713,50000
1.36,5562.980277,477.6176512,1281.109043,304.2962912,50000
1.37,5564.150011,478.3130819,1288.791878,305.3455934,50000
1.38,5565.287681,479.0113509,1296.46241,306.3862879,50000
1.39,5566.393612,479.7122134,1304.120794,307.4184848,50000
1.4,5567.468133,480.4154249,1311.767182,308.4422942,50000
1.41,5568.511568,481.1207408,1319.40173,309.4578263,50000
1.42,5569.524245,481.8279164,1327.024591,310.4651909,50000
1.43,5570.50649,482.536707,1334.635918,311.4644983,50000
1.44,5571.45863,483.2468682,1342.235867,312.4558585,50000
1.45,5572.380991,483.9581551,1349.82459,313.4393816,50000
1.46,5573.273901,484.6703233,1357.402242,314.4151776,50000
1.47,5574.137045,485.3840098,1364.968618,315.3831286,50000
1.48,5574.964592,486.1074668,1372.520413,316.3411465,50000
1.49,5575.76245,486.8327476,1380.060915,317.291334,50000
1.5,5576.530883,487.5596969,1387.590243,318.2337779,50000
1.51,5577.270152,488.2881593,1395.108514,319.1685653,50000
1.52,5577.980518,489.0179795,1402.615846,320.0957831,50000
1.53,5578.662244,489.7490022,1410.112357,321.0155183,50000
1.54,5579.315591,490.4810721,1417.598163,321.9278579,50000
1.55,5579.940822,491.2140338,1425.073383,322.8328888,50000
1.56,5580.538197,491.947732,1432.538135,323.7306981,50000
1.57,5581.107979,492.6820114,1439.992535,324.6213726,50000
1.58,5581.65043,493.4167167,1447.436701,325.5049994,50000
1.59,5582.165812,494.1516926,1454.870751,326.3816655,50000
1.6,5582.654386,494.8867837,1462.294803,327.2514578,50000
1.61,5583.116413,495.6218347,1469.708974,328.1144633,50000
1.62,5583.552157,496.3566903,1477.113382,328.9707689,50000
1.63,5583.961879,497.0911952,1484.508143,329.8204617,50000
1.64,5584.34584,497.8251941,1491.893377,330.6636286,50000
1.65,5584.702618,498.5623922,1499.266795,331.4988029,50000
1.66,5585.031469,499.3049453,1506.627075,332.3251418,50000
1.67,5585.334869,500.0476158,1513.977501,333.1447772,50000
1.68,5585.613064,500.7902877,1521.318166,333.9577804,50000
1.69,5585.866298,501.5328448,1528.649163,334.7642226,50000
1.7,5586.094816,502.2751712,1535.970585,335.564175,50000
1.71,5586.298863,503.0171509,1543.282526,336.3577086,50000
1.72,5586.478683,503.7586678,1550.585078,337.1448947,50000
1.73,5586.634521,504.4996059,1557.878335,337.9258044,50000
1.74,5586.766622,505.2398491,1565.162389,338.7005088,50000
1.75,5586.875231,505.9792815,1572.437334,339.4690792,50000
1.76,5586.960591,506.7177869,1579.703263,340.2315868,50000
1.77,5587.022949,507.4552494,1586.960269,340.9881026,50000
1.78,5587.062548,508.1915528,1594.208445,341.7386978,50000
1.79,5587.079633,508.9265813,1601.447884,342.4834437,50000
1.8,5587.074448,509.6602187,1608.67868,343.2224113,50000
1.81,5587.04724,510.392349,1615.900925,343.9556718,50000
1.82,5586.998251,511.1228561,1623.114712,344.6832964,50000
1.83,5586.927728,511.8516242,1630.320136,345.4053563,50000
1.84,5586.835914,512.578537,1637.517288,346.1219226,50000
1.85,5586.723055,513.3034785,1644.706261,346.8330665,50000
1.86,5586.589394,514.0263328,1651.88715,347.5388591,50000
1.87,5586.435177,514.7469839,1659.060047,348.2393717,50000
1.88,5586.260649,515.4653155,1666.225045,348.9346753,50000
1.89,5586.066053,516.1812118,1673.382238,349.6248412,50000
1.9,5585.851636,516.8945567,1680.531717,350.3099404,50000
1.91,5585.616562,517.6063667,1687.673036,350.9896771,50000
1.92,5585.352031,518.3260243,1694.801745,351.6610431,50000
1.93,5585.067167,519.0440887,1701.922395,352.3271325,50000
1.94,5584.762171,519.7604916,1709.035058,352.988001,50000
1.95,5584.437241,520.4751646,1716.139803,353.6437043,50000
1.96,5584.092576,521.1880393,1723.236702,354.2942982,50000
1.97,5583.728377,521.8990474,1730.325823,354.9398383,50000
1.98,5583.344842,522.6081203,1737.407239,355.5803803,50000
1.99,5582.94217,523.3151899,1744.481018,356.2159801,50000
2,5582.520561,524.0201876,1751.547232,356.8466933,50000
2.01,5582.080214,524.7230451,1758.60595,357.4725756,50000
2.02,5581.621329,525.423694,1765.657243,358.0936827,50000
2.03,5581.144104,526.1220659,1772.701181,358.7100704,50000
2.04,5580.64874,526.8180925,1779.737835,359.3217944,50000
2.05,5580.135435,527.5117053,1786.767275,359.9289103,50000
2.06,5579.604389,528.202836,1793.789571,360.5314739,50000
2.07,5579.0558,528.8914161,1800.804793,361.129541,50000
2.08,5578.489869,529.5773774,1807.813012,361.7231672,50000
2.09,5577.906795,530.2606514,1814.814299,362.3124083,50000
2.1,5577.306776,530.9411697,1821.808723,362.8973199,50000
2.11,5576.690013,531.6188639,1828.796354,363.4779578,50000
2.12,5576.056704,532.2936657,1835.777264,364.0543777,50000
2.13,5575.40705,532.9655067,1842.751522,364.6266353,50000
2.14,5574.741248,533.6343185,1849.719199,365.1947864,50000
2.15,5574.059499,534.3000327,1856.680366,365.7588866,50000
2.16,5573.362001,534.962581,1863.635091,366.3189917,50000
2.17,5572.648955,535.6218948,1870.583446,366.8751573,50000
2.18,5571.91246,536.2852481,1877.521789,367.424821,50000
2.19,5571.157613,536.9481325,1884.452434,367.9696217,50000
2.2,5570.38662,537.6086613,1891.376372,368.5102637,50000
2.21,5569.599636,538.2668048,1898.293653,369.0467887,50000
2.22,5568.796819,538.9225331,1905.204328,369.5792389,50000
2.23,5567.978326,539.5758165,1912.108449,370.1076561,50000
2.24,5567.144313,540.2266251,1919.006065,370.6320823,50000
2.25,5566.294937,540.874929,1925.897228,371.1525595,50000
2.26,5565.430355,541.5206986,1932.781988,371.6691296,50000
2.27,5564.550723,542.163904,1939.660396,372.1818347,50000
